date,created,closed,still-open
2015-06-01,399,269,130
2015-07-01,440,303,137
2015-08-01,489,321,168
2015-09-01,524,336,188
2015-10-01,542,355,187
2015-11-01,576,376,200
2015-12-01,602,398,204
2016-01-01,613,407,206
2016-02-01,630,414,216
2016-03-01,659,437,222
2016-04-01,671,440,231
2016-05-01,704,448,256
2016-06-01,718,456,262
2016-07-01,724,457,267
2016-08-01,735,459,276
2016-09-01,749,469,280
2016-10-01,781,486,295
2016-11-01,797,510,287
2016-12-01,815,531,284
2017-01-01,826,551,275
2017-02-01,853,561,292
2017-03-01,883,577,306
2017-04-01,904,596,308
2017-05-01,927,605,322
2017-06-01,938,610,328
2017-07-01,951,614,337
2017-08-01,957,619,338
2017-09-01,967,631,336
2017-10-01,990,639,351
2017-11-01,1002,651,351
2017-12-01,1019,655,364
2018-01-01,1035,661,374
2018-02-01,1052,661,391
2018-03-01,1116,672,444
2018-04-01,1163,673,490
2018-05-01,1201,674,527
2018-06-01,1236,678,558
2018-07-01,1261,682,579
2018-08-01,1271,684,587
2018-09-01,1310,688,622
2018-10-01,1361,693,668
2018-11-01,1393,694,699
2018-12-01,1415,744,671
2019-01-01,1427,745,682
2019-02-01,1459,752,707
2019-03-01,1473,762,711
2019-04-01,1494,769,725
2019-05-01,1514,789,725
2019-06-01,1540,805,735
2019-07-01,1562,809,753
2019-08-01,1568,813,755
2019-09-01,1579,815,764
2019-10-01,1599,822,777
2019-11-01,1617,835,782
2019-12-01,1640,836,804
2020-01-01,1667,842,825
2020-02-01,1668,843,825
2020-03-01,1685,857,828
2020-04-01,1726,858,868
2020-05-01,1757,877,880
2020-06-01,1780,930,850
2020-07-01,1795,1019,776
2020-08-01,1833,1042,791
2020-09-01,1866,1063,803
2020-10-01,1908,1089,819
2020-11-01,1921,1114,807
2020-12-01,1968,1141,827
2021-01-01,1991,1170,821
2021-02-01,2010,1201,809
2021-03-01,2045,1230,815
2021-04-01,2073,1255,818
2021-05-01,2088,1270,818
2021-06-01,2102,1276,826
2021-07-01,2111,1281,830
2021-08-01,2126,1282,844
2021-09-01,2146,1296,850
2021-10-01,2164,1298,866
2021-11-01,2173,1299,874
2021-12-01,2194,1299,895
2022-01-01,2226,1336,890
2022-02-01,2259,1419,840
2022-03-01,2303,1434,869
2022-04-01,2306,1434,872
